Date,Open,High,Low,Close,Adj Close,Volume
2019-10-28,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-10-29,0.001000,0.001000,0.001000,0.001000,0.001000,2260229
2019-10-30,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-10-31,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-01,0.001000,0.001000,0.001000,0.001000,0.001000,500000
2019-11-04,0.001000,0.001000,0.001000,0.001000,0.001000,900000
2019-11-05,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-06,0.001000,0.001000,0.001000,0.001000,0.001000,125000
2019-11-07,0.001000,0.001000,0.001000,0.001000,0.001000,125000
2019-11-08,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-11,0.001000,0.001000,0.001000,0.001000,0.001000,1625000
2019-11-12,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-13,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-14,0.001000,0.001000,0.001000,0.001000,0.001000,250000
2019-11-15,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-18,0.001000,0.001000,0.001000,0.001000,0.001000,125000
2019-11-19,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-20,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-21,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-22,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-25,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-26,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-27,0.001000,0.001000,0.001000,0.001000,0.001000,1000000
2019-11-28,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-11-29,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-02,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-03,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-04,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-05,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-06,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-09,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-10,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-11,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-12,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-13,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-16,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-17,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-18,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-19,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-20,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-23,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-24,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-27,0.001000,0.001000,0.001000,0.001000,0.001000,500000
2019-12-30,0.001000,0.001000,0.001000,0.001000,0.001000,0
2019-12-31,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-02,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-03,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-06,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-07,0.001000,0.001000,0.001000,0.001000,0.001000,1777149
2020-01-08,0.001000,0.001000,0.001000,0.001000,0.001000,1712851
2020-01-09,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-10,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-13,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-14,0.001000,0.001000,0.001000,0.001000,0.001000,2753300
2020-01-15,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-16,0.001000,0.001000,0.001000,0.001000,0.001000,1325000
2020-01-17,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-20,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-21,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-22,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-23,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-24,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-28,0.001000,0.001000,0.001000,0.001000,0.001000,2500000
2020-01-29,0.001000,0.001000,0.001000,0.001000,0.001000,2500000
2020-01-30,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-01-31,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-03,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-04,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-05,0.001000,0.001000,0.001000,0.001000,0.001000,570926
2020-02-06,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-07,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-10,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-11,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-12,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-13,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-14,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-17,0.001000,0.001000,0.001000,0.001000,0.001000,1000000
2020-02-18,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-19,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-20,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-21,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-24,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-25,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-02-26,0.002000,0.002000,0.002000,0.002000,0.002000,250000
2020-02-27,0.001000,0.001000,0.001000,0.001000,0.001000,30000
2020-02-28,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-02,0.001000,0.001000,0.001000,0.001000,0.001000,500000
2020-03-03,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-04,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-05,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-06,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-09,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-10,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-11,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-12,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-13,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-16,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-17,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-18,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-19,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-20,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-23,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-24,0.001000,0.001000,0.001000,0.001000,0.001000,80200
2020-03-25,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-26,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-27,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-30,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-03-31,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-04-01,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-04-02,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-04-03,0.001000,0.001000,0.001000,0.001000,0.001000,0
2020-04-06,0.001000,0.001000,0.001000,0.001000,0.001000,0
